"soil_name","horizon","base_sat"
"kingsferry","20_40",NA
"kingsferry","40_100",NA
"hard labor","0_10",25
"hard labor","10_20",13
"hard labor","20_40",37
"hard labor","40_100",43.5
"smithton","0_10",10
"smithton","10_20",9.5
"smithton","20_40",9
"smithton","40_100",11
"evard","0_10",6
"evard","10_20",8.5
"evard","20_40",11
"evard","40_100",13
"cashiers","0_10",6
"cashiers","10_20",6
"cashiers","20_40",6
"cashiers","40_100",8.5
"cataula","0_10",94
"cataula","10_20",83
"cataula","20_40",76
"cataula","40_100",56
"acadia","0_10",19
"acadia","10_20",23.5
"acadia","20_40",28
"acadia","40_100",39.3333333333333
"tusquitee","0_10",5
"tusquitee","10_20",4
"tusquitee","20_40",4
"tusquitee","40_100",8
"nikwasi","0_10",2
"nikwasi","10_20",1.5
"nikwasi","20_40",1
"nikwasi","40_100",8.66666666666667
