"soil_name","horizon","mg_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","mg_g_m2","total_mg_horizon"
"appling","40_100",0.00441818181818182,1.31,0.19649269329816,1,42.0181818181818,25.5,32.9090909090909,2.72727272727273,5.62996859504132e-07,3e-05
"arkana","0_10",1.63335,1.3509262485482,0.246635757280942,NA,26.26875,54.1375,19.6,NA,0.00022065353880662,0.00221
"arkana","10_20",2.94417142857143,1.5096443452381,0.210069553241103,NA,26.5285714285714,49.4571428571429,24.0142857142857,NA,0.000444465174855444,0.00444
"arkana","20_40",4.06987368421053,1.50104635443921,0.215883238671701,NA,19.9578947368421,39.3421052631579,40.6947368421053,NA,0.000610906905671229,0.01222
"arkana","40_100",7.63332972972973,1.59451747615447,0.19649269329816,NA,11.5108108108108,26.2378378378378,62.2378378378378,NA,0.00121714776553035,0.07303
"ashe","0_10",0.0168,1.26,0.246635757280942,1,48.7666666666667,35.2333333333333,16,6.33333333333333,1.982736e-06,2e-05
"ashe","10_20",0.00564,1.5096443452381,0.210069553241103,NA,49.2,36.75,14.05,2,8.34410622500003e-07,1e-05
"ashe","20_40",NA,1.58,0.215883238671701,1,63.5,22.7,13.8,1,NA,NA
"ashe","40_100",0.011256,1.79,0.19649269329816,1,59.06,27.64,13.3,8,1.85363808e-06,0.00011
"ashlar","0_10",0.00132,1.3509262485482,0.246635757280942,NA,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.73770531240156e-07,0
"ashlar","10_20",0.00132,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.93390233493818e-07,0
"ashlar","20_40",0.00132,1.57,0.215883238671701,1,74.2,20.1,5.7,14,1.782264e-07,0
"ashlar","40_100",0.00192,1.55,0.19649269329816,1,75.2,19.4,5.4,30,2.0832e-07,1e-05
"attoyac","0_10",0.13236,1.63,0.226274169979695,2,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,2.15027644e-05,0.00022
"attoyac","10_20",0.00426,1.585,0.134350288425444,2,72.75,24.25,3,1,6.684579e-07,1e-05
"attoyac","20_40",0.146506666666667,1.648,0.122351951353462,5,61.2333333333333,30.45,8.31666666666667,0.333333333333333,2.40638176711111e-05,0.00048
"attoyac","40_100",0.0775854545454545,1.7775,0.0337003603202442,8,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,1.37657403371901e-05,0.00083
"bayboro","0_10",0.0372,1.3509262485482,0.246635757280942,NA,44.8,20.4,34.8,NA,5.0254456445993e-06,5e-05
"bayboro","10_20",0.02608,1.5096443452381,0.210069553241103,NA,36,31.2666666666667,32.7333333333333,NA,3.93715245238097e-06,4e-05
"bayboro","20_40",0.0246,1.50104635443921,0.215883238671701,NA,31.95,32.85,35.2,NA,3.69257403192046e-06,7e-05
"bayboro","40_100",0.0356,1.59451747615447,0.19649269329816,NA,26.6666666666667,24.5,48.8333333333333,NA,5.67648221510991e-06,0.00034
"beauregard","0_10",0.00684,1.39,0.246635757280942,1,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,9.396678e-07,1e-05
"beauregard","10_20",0.00538,1.6,0.210069553241103,1,36.0666666666667,54.7,9.23333333333333,1,8.52192e-07,1e-05
"beauregard","20_40",0.00656,1.62,0.215883238671701,1,30.8166666666667,52.3666666666667,16.8166666666667,1,1.0520928e-06,2e-05
"beauregard","40_100",0.008235,1.70666666666667,0.0850490054811538,3,27.90625,52.375,19.71875,1.25,1.387872e-06,8e-05
"benndale","0_10",NA,1.53,0.246635757280942,1,71.4,18.95,9.65,0.5,NA,NA
"benndale","10_20",NA,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,NA,NA
"benndale","20_40",NA,1.63,0.215883238671701,1,64.15,20.1,15.75,NA,NA,NA
"benndale","40_100",NA,1.69,0.0173205080756888,3,69.12,17.16,13.72,0.6,NA,NA
"bernaldo","0_10",0.516533333333333,1.3509262485482,0.246635757280942,NA,62.0666666666667,35.5,2.43333333333333,NA,6.97798438250097e-05,7e-04
"bernaldo","10_20",0.006,1.44,0.210069553241103,1,52.3,42.1,5.6,NA,8.64e-07,1e-05
"bernaldo","20_40",0.138,1.51,0.0800000000000001,3,56.625,37.875,5.5,NA,2.0838e-05,0.00042
"bernaldo","40_100",1.16737142857143,1.67142857142857,0.0817370930542087,7,41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,0.000194839056209912,0.01169
"besner","0_10",0.0024,1.24,0.246635757280942,1,66,31.2,2.8,NA,2.976e-07,0
"besner","10_20",0.0024,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,3.51618606352396e-07,0
